Region,Year,LifeExpectancy
East Asia & Pacific,1960,53.03953658536585
East Asia & Pacific,1961,54.37793728222997
East Asia & Pacific,1962,56.30151219512196
East Asia & Pacific,1963,56.682857142857145
East Asia & Pacific,1964,57.08052264808362
East Asia & Pacific,1965,57.48734843205575
East Asia & Pacific,1966,57.81025783972126
East Asia & Pacific,1967,58.942588850174225
East Asia & Pacific,1968,59.33629268292683
East Asia & Pacific,1969,59.79098257839722
East Asia & Pacific,1970,60.28431010452962
East Asia & Pacific,1971,60.74948780487805
East Asia & Pacific,1972,61.17918815331011
East Asia & Pacific,1973,61.670397212543556
East Asia & Pacific,1974,62.12891289198607
East Asia & Pacific,1975,62.594881533101045
East Asia & Pacific,1976,62.96921254355401
East Asia & Pacific,1977,63.487445993031365
East Asia & Pacific,1978,63.90716027874565
East Asia & Pacific,1979,64.38258536585366
East Asia & Pacific,1980,64.87208362369338
East Asia & Pacific,1981,65.32859233449479
East Asia & Pacific,1982,65.7314181184669
East Asia & Pacific,1983,66.14527526132404
East Asia & Pacific,1984,66.56448083623694
East Asia & Pacific,1985,66.96848083623694
East Asia & Pacific,1986,67.38495470383275
East Asia & Pacific,1987,67.6107630662021
East Asia & Pacific,1988,68.02819163763067
East Asia & Pacific,1989,68.27887456445993
East Asia & Pacific,1990,68.59795470383276
East Asia & Pacific,1991,68.90752613240419
East Asia & Pacific,1992,69.21541463414634
East Asia & Pacific,1993,69.50227177700349
East Asia & Pacific,1994,69.7823031358885
East Asia & Pacific,1995,70.06787456445993
East Asia & Pacific,1996,70.39690592334496
East Asia & Pacific,1997,70.73400000000001
East Asia & Pacific,1998,71.04126829268293
East Asia & Pacific,1999,71.29456794425087
East Asia & Pacific,2000,71.65099651567945
East Asia & Pacific,2001,71.9873449477352
East Asia & Pacific,2002,72.23643902439025
East Asia & Pacific,2003,72.5262369337979
East Asia & Pacific,2004,72.79387108013937
East Asia & Pacific,2005,73.09879094076655
East Asia & Pacific,2006,73.3256794425087
East Asia & Pacific,2007,73.5991393728223
East Asia & Pacific,2008,73.84161672473867
East Asia & Pacific,2009,74.17153658536586
East Asia & Pacific,2010,74.41179094076655
East Asia & Pacific,2011,74.66331358885019
East Asia & Pacific,2012,74.8923763066202
East Asia & Pacific,2013,75.11786759581881
East Asia & Pacific,2014,75.32815331010454
East Asia & Pacific,2015,75.51532752613241
East Asia & Pacific,2016,75.6872787456446
East Asia & Pacific,2017,75.84613588850175
East Asia & Pacific,2018,76.01477003484321
East Asia & Pacific,2019,76.25270731707317
East Asia & Pacific,2020,75.98710452961673
East Asia & Pacific,2021,75.46335888501743
East Asia & Pacific,2022,76.36937282229965
East Asia & Pacific,2023,76.57691289198605
Europe & Central Asia,1960,66.1190022172949
Europe & Central Asia,1961,66.43870509977828
Europe & Central Asia,1962,66.51613747228383
Europe & Central Asia,1963,66.84757649667407
Europe & Central Asia,1964,67.2739268292683
Europe & Central Asia,1965,67.4869423503326
Europe & Central Asia,1966,67.75246784922396
Europe & Central Asia,1967,68.19658758314857
Europe & Central Asia,1968,68.29082261640798
Europe & Central Asia,1969,68.28011529933481
Europe & Central Asia,1970,68.36725720620844
Europe & Central Asia,1971,68.6579467849224
Europe & Central Asia,1972,68.89892904656321
Europe & Central Asia,1973,69.1139600886918
Europe & Central Asia,1974,69.30073392461198
Europe & Central Asia,1975,69.48214190687362
Europe & Central Asia,1976,69.52547450110866
Europe & Central Asia,1977,69.76044124168514
Europe & Central Asia,1978,69.76743902439024
Europe & Central Asia,1979,69.80183592017738
Europe & Central Asia,1980,69.89676274944568
Europe & Central Asia,1981,70.01053658536586
Europe & Central Asia,1982,70.292933481153
Europe & Central Asia,1983,70.30877605321508
Europe & Central Asia,1984,70.37958536585367
Europe & Central Asia,1985,70.75337250554324
Europe & Central Asia,1986,71.23473835920178
Europe & Central Asia,1987,71.36778048780488
Europe & Central Asia,1988,71.58764966740577
Europe & Central Asia,1989,71.68045454545455
Europe & Central Asia,1990,71.72145454545455
Europe & Central Asia,1991,71.8248536585366
Europe & Central Asia,1992,71.31183370288248
Europe & Central Asia,1993,70.97162084257207
Europe & Central Asia,1994,71.53338359201774
Europe & Central Asia,1995,71.72463414634147
Europe & Central Asia,1996,71.96734368070953
Europe & Central Asia,1997,72.18045454545455
Europe & Central Asia,1998,72.39447893569846
Europe & Central Asia,1999,72.22870066518848
Europe & Central Asia,2000,72.64786474501109
Europe & Central Asia,2001,72.8789090909091
Europe & Central Asia,2002,73.03244124168515
Europe & Central Asia,2003,73.32214190687363
Europe & Central Asia,2004,73.8139578713969
Europe & Central Asia,2005,73.9920133037694
Europe & Central Asia,2006,74.41665410199558
Europe & Central Asia,2007,74.85143237250556
Europe & Central Asia,2008,75.3110243902439
Europe & Central Asia,2009,75.49558093126387
Europe & Central Asia,2010,75.7889889135255
Europe & Central Asia,2011,76.11237472283814
Europe & Central Asia,2012,76.44353436807096
Europe & Central Asia,2013,76.71322394678492
Europe & Central Asia,2014,77.0269534368071
Europe & Central Asia,2015,77.13849889135255
Europe & Central Asia,2016,77.42976718403548
Europe & Central Asia,2017,77.59909977827051
Europe & Central Asia,2018,77.8590354767184
Europe & Central Asia,2019,77.9918603104213
Europe & Central Asia,2020,76.84337028824835
Europe & Central Asia,2021,76.288022172949
Europe & Central Asia,2022,77.76159423503327
Europe & Central Asia,2023,78.41531485587585
Latin America & Caribbean,1960,58.946250000000006
Latin America & Caribbean,1961,59.5395
Latin America & Caribbean,1962,60.018750000000004
Latin America & Caribbean,1963,60.44
Latin America & Caribbean,1964,60.976749999999996
Latin America & Caribbean,1965,61.525875
Latin America & Caribbean,1966,62.070625
Latin America & Caribbean,1967,62.54475
Latin America & Caribbean,1968,62.882625000000004
Latin America & Caribbean,1969,63.15525
Latin America & Caribbean,1970,62.360749999999996
Latin America & Caribbean,1971,63.726375
Latin America & Caribbean,1972,63.287124999999996
Latin America & Caribbean,1973,64.428125
Latin America & Caribbean,1974,64.83200000000001
Latin America & Caribbean,1975,65.22562500000001
Latin America & Caribbean,1976,65.549875
Latin America & Caribbean,1977,65.83625
Latin America & Caribbean,1978,65.80137500000001
Latin America & Caribbean,1979,65.70575
Latin America & Caribbean,1980,66.902
Latin America & Caribbean,1981,67.26962499999999
Latin America & Caribbean,1982,67.638125
Latin America & Caribbean,1983,67.049125
Latin America & Caribbean,1984,67.721875
Latin America & Caribbean,1985,67.981375
Latin America & Caribbean,1986,68.3845
Latin America & Caribbean,1987,68.5415
Latin America & Caribbean,1988,69.06225
Latin America & Caribbean,1989,69.49125
Latin America & Caribbean,1990,69.838
Latin America & Caribbean,1991,70.124625
Latin America & Caribbean,1992,70.405125
Latin America & Caribbean,1993,70.678375
Latin America & Caribbean,1994,70.99725000000001
Latin America & Caribbean,1995,71.33675
Latin America & Caribbean,1996,71.67925
Latin America & Caribbean,1997,71.92
Latin America & Caribbean,1998,71.983
Latin America & Caribbean,1999,72.440125
Latin America & Caribbean,2000,72.70575
Latin America & Caribbean,2001,73.030375
Latin America & Caribbean,2002,73.318625
Latin America & Caribbean,2003,73.645625
Latin America & Caribbean,2004,73.754375
Latin America & Caribbean,2005,74.198375
Latin America & Caribbean,2006,74.382375
Latin America & Caribbean,2007,74.59425
Latin America & Caribbean,2008,74.68124999999999
Latin America & Caribbean,2009,74.78025
