Country Name,Country Code,Region,Year,LifeExpectancy
Marshall Islands,MHL,East Asia & Pacific,1960,54.359
"Korea, Rep.",KOR,East Asia & Pacific,1960,53.79756097560976
China,CHN,East Asia & Pacific,1960,33.419
Singapore,SGP,East Asia & Pacific,1960,65.56219512195122
Vanuatu,VUT,East Asia & Pacific,1960,49.841
Palau,PLW,East Asia & Pacific,1960,54.853
French Polynesia,PYF,East Asia & Pacific,1960,59.445
Marshall Islands,MHL,East Asia & Pacific,1961,54.725
"Korea, Rep.",KOR,East Asia & Pacific,1961,54.47685365853659
China,CHN,East Asia & Pacific,1961,40.158
Singapore,SGP,East Asia & Pacific,1961,65.95970731707318
Vanuatu,VUT,East Asia & Pacific,1961,50.384
Palau,PLW,East Asia & Pacific,1961,55.092
French Polynesia,PYF,East Asia & Pacific,1961,59.85
Marshall Islands,MHL,East Asia & Pacific,1962,55.214
"Korea, Rep.",KOR,East Asia & Pacific,1962,55.0549512195122
China,CHN,East Asia & Pacific,1962,50.959
Singapore,SGP,East Asia & Pacific,1962,66.37263414634147
Vanuatu,VUT,East Asia & Pacific,1962,50.931
Palau,PLW,East Asia & Pacific,1962,55.378
French Polynesia,PYF,East Asia & Pacific,1962,60.201
Marshall Islands,MHL,East Asia & Pacific,1963,55.739
"Korea, Rep.",KOR,East Asia & Pacific,1963,55.02546341463415
China,CHN,East Asia & Pacific,1963,51.67
Singapore,SGP,East Asia & Pacific,1963,66.77953658536586
Vanuatu,VUT,East Asia & Pacific,1963,51.485
Palau,PLW,East Asia & Pacific,1963,55.567
French Polynesia,PYF,East Asia & Pacific,1963,60.514
Marshall Islands,MHL,East Asia & Pacific,1964,56.265
"Korea, Rep.",KOR,East Asia & Pacific,1964,55.392243902439034
China,CHN,East Asia & Pacific,1964,52.343
Singapore,SGP,East Asia & Pacific,1964,67.00241463414635
Vanuatu,VUT,East Asia & Pacific,1964,51.969
Palau,PLW,East Asia & Pacific,1964,55.795
French Polynesia,PYF,East Asia & Pacific,1964,60.797
Marshall Islands,MHL,East Asia & Pacific,1965,56.779
"Korea, Rep.",KOR,East Asia & Pacific,1965,55.864585365853664
China,CHN,East Asia & Pacific,1965,53.001
Singapore,SGP,East Asia & Pacific,1965,67.23285365853658
Vanuatu,VUT,East Asia & Pacific,1965,52.527
Palau,PLW,East Asia & Pacific,1965,55.938
French Polynesia,PYF,East Asia & Pacific,1965,61.069
Marshall Islands,MHL,East Asia & Pacific,1966,57.284
"Korea, Rep.",KOR,East Asia & Pacific,1966,55.5229756097561
China,CHN,East Asia & Pacific,1966,53.662
Singapore,SGP,East Asia & Pacific,1966,67.54782926829269
Vanuatu,VUT,East Asia & Pacific,1966,53.09
Palau,PLW,East Asia & Pacific,1966,56.212
